anime_id,studios
509,AIC
510,Madhouse
511,"Triangle Staff"
512,TNK
513,Radix
516,"Toei Animation"
517,"Group TAC"
518,"Toei Animation"
519,J.C.Staff
520,OLM
520,"Production Reed"
521,OLM
522,OLM
523,OLM
524,"Studio Hibari"
525,Bones
526,"Production I.G"
526,Xebec
527,Madhouse
528,Radix
529,Madhouse
529,"Studio Deen"
530,J.C.Staff
531,"Studio 4Â°C"
531,Sunrise
532,Madhouse
533,Sunrise
534,AIC
535,"Tatsunoko Production"
536,"Production I.G"
537,AIC
538,Topcraft
539,"Studio Junio"
540,Sunrise
541,"Tokyo Kids"
542,"Trinet Entertainment"
542,"Picture Magic"
543,"Studio Ghibli"
544,AIC
545,"Studio Pierrot"
546,"Studio Fantasia"
547,"Magic Bus"
548,Satelight
549,"Studio Ghibli"
550,"Toei Animation"
551,"Group TAC"
552,TNK
553,"Toei Animation"
554,"Group TAC"
555,"Studio Deen"
556,"TMS Entertainment"
557,Sunrise
558,"Studio Pierrot"
559,Madhouse
560,Madhouse
561,"Studio Ghibli"
562,Radix
563,Madhouse
564,Radix
564,"Marine Entertainment"
565,J.C.Staff
566,Gainax
567,"Toei Animation"
568,"Studio Pierrot"
569,"Studio Pierrot"
570,Madhouse
571,Madhouse
572,"Production I.G"
573,"Studio Fantasia"
574,Shaft
576,Xebec
577,Sunrise
578,J.C.Staff
579,"Kyoto Animation"
579,"Tatsunoko Production"
580,Gallop
581,Madhouse
582,Madhouse
583,"Studio Junio"
584,"TMS Entertainment"
585,AIC
587,A.C.G.T.
588,"Studio Deen"
588,"Studio Hibari"
588,"Production Reed"
590,"Toei Animation"
591,"Studio Hibari"
592,"Production Reed"
593,Madhouse
593,"Production Reed"
594,Shaft
594,Gainax
595,Gainax
595,Shaft
596,KSS
597,A.C.G.T.
598,Madhouse
599,Madhouse
600,J.C.Staff
601,Madhouse
602,Madhouse
603,J.C.Staff
604,"Studio Pierrot"
605,"Studio Deen"
606,Zexcs
608,Daume
609,OLM
610,"Studio Matrix"
611,Madhouse
612,Madhouse
614,Madhouse
614,feel.
615,"Kyoto Animation"
616,Madhouse
617,J.C.Staff
618,"Toei Animation"
620,Bones
621,APPP
622,APPP
623,"Studio Hibari"
624,"Studio Flag"
625,"Palm Studio"
626,"Trinet Entertainment"
626,"Picture Magic"
628,Sunrise
630,"Pink Pineapple"
631,Sunrise
632,"Studio Deen"
633,"Zero-G Room"
634,"AIC Spirits"
635,"Tokyo Kids"
638,OLM
638,"AIC ASTA"
639,"AIC ASTA"
640,"Studio Pierrot"
641,"Hal Film Maker"
642,"Hal Film Maker"
643,AIC
644,Madhouse
646,AIC
647,Zexcs
649,AIC
650,"Toei Animation"
651,Imagin
651,"Studio Live"
652,"Chaos Project"
652,Radix
653,OLM
654,"Telecom Animation Film"
655,Madhouse
655,"Telecom Animation Film"
656,Shaft
658,"Shogakukan Music & Digital Entertainment"
659,"Toei Animation"
661,J.C.Staff
662,J.C.Staff
663,AIC
664,"Hal Film Maker"
666,"Toei Animation"
669,"Toei Animation"
670,"Group TAC"
672,"Toei Animation"
673,"Production Reed"
675,Zexcs
676,J.C.Staff
677,SynergySP
678,"Toei Animation"
679,Ajia-Do
680,J.C.Staff
680,"Studio Ghibli"
681,AIC
682,TNK
683,"Trinet Entertainment"
686,"Studio Deen"
687,"Studio Deen"
688,J.C.Staff
690,"TMS Entertainment"
693,"Brain's Base"
694,Bones
695,Madhouse
696,Madhouse
697,"Studio Pierrot"
698,"Studio Pierrot"
699,Xebec
700,Xebec
701,Imagin
701,"Studio Live"
702,"View Works"
702,"Group TAC"
703,AIC
704,AIC
705,"Studio Rikka"
706,"Bee Train"
707,"Studio Pierrot"
708,J.C.Staff
709,Madhouse
709,Satelight
709,Graphinica
710,"TMS Entertainment"
711,"TMS Entertainment"
712,"TMS Entertainment"
713,Sunrise
714,"Group TAC"
715,Gainax
716,"Creators Dot Com"
717,J.C.Staff
718,"Group TAC"
718,"Ginga Ya"
719,Manglobe
720,Sunrise
722,"Production I.G"
723,"Tezuka Productions"
724,"Nippon Animation"
725,Daume
726,J.C.Staff
727,"Studio Deen"
728,"Triangle Staff"
729,"Production I.G"
730,"Production I.G"
731,Xebec
731,"Production Reed"
732,Animaruya
732,"Group TAC"
733,"Studio Pierrot"
733,Arms
734,Satelight
735,"Toei Animation"
736,"Trans Arts"
737,"Production I.G"
738,Radix
739,Actas
740,Shaft
741,"Vega Entertainment"
742,Artland
742,"Magic Bus"
743,Pastel
744,Pastel
747,"Production I.G"
748,Y.O.U.C
750,Shinkuukan
751,J.C.Staff
752,Plum
753,Gonzo
754,"Studio Pierrot"
755,Zexcs
756,Zexcs
757,Shinkuukan
758,Planet
759,Ajia-Do
760,"Studio Live"
761,"Triangle Staff"
761,"Studio Wombat"
762,Pastel
763,"Toei Animation"
764,Madhouse
765,"Studio Comet"
766,feel.
767,"Kyoto Animation"
768,"Tokyo Kids"
769,"Studio Pierrot"
770,"Toei Animation"
771,Bones
772,"Picture Magic"
773,Madhouse
773,Imagin
774,OLM
775,"Toei Animation"
776,"Brain's Base"
777,"Toei Animation"
778,OLM
779,"Production I.G"
780,Arms
781,Sunrise
782,Sunrise
783,"Hal Film Maker"
784,J.C.Staff
785,J.C.Staff
786,J.C.Staff
787,"Production I.G"
788,"Studio 4Â°C"
789,"Bee Train"
790,"Toei Animation"
791,"Studio 4Â°C"
792,"Studio Hibari"
792,"Production Reed"
793,Madhouse
794,Sunrise
795,"Studio Deen"
796,AIC
798,"Studio Pierrot"
799,"Studio Pierrot"
800,"OLM Digital"
801,"Studio Deen"
802,"Studio Deen"
804,Xebec
805,Madhouse
806,Sunrise
807,"Toei Animation"
808,"Toei Animation"
809,"Toei Animation"
810,"Toei Animation"
811,"Toei Animation"
812,"Toei Animation"
813,"Toei Animation"
814,"Toei Animation"
815,"Toei Animation"
816,"Toei Animation"
817,"Toei Animation"
818,"Toei Animation"
819,"Toei Animation"
820,"Toei Animation"
821,"Toei Animation"
822,"Toei Animation"
823,"Studio Deen"
824,Bones
825,Satelight
826,Arms
827,"Toei Animation"
828,"Studio Pierrot"
829,"TMS Entertainment"
830,"Studio Hibari"
831,"Studio Deen"
832,"AIC Spirits"
832,"Group TAC"
833,Artmic
833,AIC
834,Sunrise
835,OLM
836,"Kyoto Animation"
836,"Tatsunoko Production"
837,"Tatsunoko Production"
838,"Toei Animation"
839,"Toei Animation"
840,"Toei Animation"
841,Actas
842,Gonzo
843,Sunrise
844,Sunrise
845,Daume
846,DiomedÃ©a
847,"Studio Deen"
848,Gonzo
849,"Studio Pierrot"
850,Gainax
851,"Brain's Base"
852,"Seven Arcs"
853,Remic
854,"Hal Film Maker"
855,Madhouse
856,Xebec
857,Gainax
858,APPP
859,"Nippon Animation"
860,Madhouse
860,TNK
861,Bones
862,"Toei Animation"
863,Madhouse
864,Satelight
865,"Nippon Animation"
866,"Nippon Animation"
867,"Tokyo Movie Shinsha"
868,"Hal Film Maker"
870,Imagin
870,"Studio Live"
871,"Studio Hibari"
872,"Shin-Ei Animation"
873,"Toei Animation"
874,"TMS Entertainment"
875,"Bee Train"
876,"Enoki Films"
876,"Dai Nippon Printing"
877,"Tezuka Productions"
878,"Studio Jam"
879,Gonzo
879,Satelight
880,"Production I.G"
881,Ajia-Do
882,Ajia-Do
883,"Phoenix Entertainment"
884,"Brain's Base"
885,Plum
886,Xebec
887,Madhouse
888,TNK
889,TNK
890,"Toei Animation"
891,"Toei Animation"
892,"Toei Animation"
893,"Toei Animation"
894,"Group TAC"
894,"G&G Entertainment"
895,T.P.O
896,"Toei Animation"
898,AIC
899,AIC
900,"Mook Animation"
901,M.S.C
902,"Toei Animation"
903,"Toei Animation"
903,"Production Reed"
904,"Production Reed"
904,"Production I.G"
905,"Production I.G"
906,"Toei Animation"
907,"Telecom Animation Film"
908,Gainax
911,"Studio Deen"
912,AIC
913,"Studio Deen"
913,"Kitty Films"
914,"Studio Deen"
914,Gainax
916,"Studio Deen"
917,Sunrise
918,"Magic Bus"
919,"Production I.G"
920,J.C.Staff
921,"Kyoto Animation"
922,Madhouse
923,J.C.Staff
924,J.C.Staff
925,Madhouse
926,Madhouse
927,"Studio Hibari"
928,"Tatsunoko Production"
929,Bones
930,"Triangle Staff"
930,"animate Film"
931,APPP
931,AIC
932,"Studio Pierrot"
933,"Triangle Staff"
934,"Studio 4Â°C"
935,"Studio Ghibli"
936,"Studio Ghibli"
937,"Studio 4Â°C"
938,"Studio Pierrot"
939,Madhouse
940,Gainax
941,"Magic Bus"
944,Arms
945,OLM
946,"Nippon Animation"
947,Madhouse
948,"Production I.G"
949,Madhouse
950,"Toei Animation"
951,"Group TAC"
951,Amuse
952,"Group TAC"
953,"Studio Ghibli"
954,"Tatsunoko Production"
955,"Oh! Production"
956,"Toei Animation"
957,Gonzo
958,Zexcs
960,"Group TAC"
961,"Production I.G"
962,"Group TAC"
965,Gainax
967,"Brain's Base"
968,Gallop
968,"Group TAC"
968,"Studio Junio"
969,J.C.Staff
970,"View Works"
971,Sunrise
971,"Toei Animation"
972,"Toei Animation"
972,Sunrise
973,Radix
974,"Doga Kobo"
975,"Studio 4Â°C"
976,"Studio Pierrot"
977,"Studio Hibari"
978,"TMS Entertainment"
979,Madhouse
980,AIC
981,Gonzo
982,Madhouse
983,J.C.Staff
984,A.C.G.T.
985,"Studio Pierrot"
986,"Toei Animation"
987,Bones
988,"Studio Pierrot"
989,"Tatsunoko Production"
990,Artland
990,"Tatsunoko Production"
991,Sunrise
992,Sunrise
993,Sunrise
994,"Shin-Ei Animation"
995,"Toei Animation"
996,"Production I.G"
996,"Studio Deen"
997,"Production Reed"
997,"Production I.G"
998,"Studio Hibari"
999,Gonzo
1001,J.C.Staff
1002,AIC
1003,"Romanov Films"
1004,OLM
1005,OLM
1006,"Studio 4Â°C"
1007,"Studio 4Â°C"
1008,Madhouse
1009,"Studio Deen"
1010,Madhouse
1011,Actas
1011,SynergySP
1012,Gonzo
1013,Gonzo
1014,Arms
1015,J.C.Staff
1016,"Triangle Staff"
1017,OLM
1018,OLM
1019,OLM
1020,OLM
1021,OLM
1022,OLM
1023,"Toei Animation"
1024,Sunrise
1025,OLM
1026,TNK
1027,TNK
1028,TNK
1029,"Kaname Productions"
1029,Idol
1030,"Toei Animation"
1031,AIC
1032,"Kyoto Animation"
1033,Sunrise
1034,"Toei Animation"
1035,"Bee Train"
1036,"Group TAC"
1037,Gonzo
1038,"Palm Studio"
1039,J.C.Staff
1040,"Bee Train"
1042,"Studio Pierrot"
1043,AIC
1044,AIC
1045,Madhouse
1046,Gonzo
1047,"Triangle Staff"
1048,"Agent 21"
1049,J.C.Staff
1050,"Toei Animation"
1051,"Toei Animation"
1052,Gonzo
1053,Gonzo
1054,Gonzo
1055,"Chaos Project"
1058,J.C.Staff
1059,J.C.Staff
1060,"Studio Pierrot"
1061,J.C.Staff
1062,Radix
1063,Radix
1064,"Studio Egg"
1065,"Studio Deen"
1066,AIC
1067,J.C.Staff
1068,J.C.Staff
1069,J.C.Staff
1070,"Kyoto Animation"
1071,J.C.Staff
1073,J.C.Staff
1074,AIC
1074,Artmic
1075,Madhouse
1076,"Studio Pierrot"
1077,Ajia-Do
1078,"Triangle Staff"
1079,"Chaos Project"
1080,"E&G Films"
1081,AIC
1082,AIC
1083,Madhouse
1084,"Studio Deen"
1085,"Studio Deen"
1086,"Production I.G"
1087,"Hal Film Maker"
1088,"Yamato Works"
1089,"Studio Hibari"
1090,ufotable
1091,J.C.Staff
1092,Artland
1093,"Trinet Entertainment"
1093,"Studio Hibari"
1094,Ajia-Do
1095,"ACC Production"
1096,"Trans Arts"
1098,"Tamura Shigeru Studio"
1100,"Group TAC"
1101,"Mushi Production"
1102,"Toei Animation"
1103,Madhouse
1103,"Telecom Animation Film"
1104,Gonzo
1105,"Triangle Staff"
1106,"Hal Film Maker"
1107,"Toei Animation"
1108,Sunrise
1109,J.C.Staff
1111,Daume
1112,Nomad
1113,"CoMix Wave Films"
1114,"Toei Animation"
1115,Artland
1117,Madhouse
1118,"Studio Junio"
1119,Sunrise
1120,"Studio Signal"
1121,Daume
1122,"Brain's Base"
1123,"Hal Film Maker"
1124,"Zero-G Room"
1125,"Studio Fantasia"
1126,"Tokyo Kids"
1127,"Studio Pierrot"
1128,"Toei Animation"
1129,"Toei Animation"
1130,"Toei Animation"
1131,"Toei Animation"
1132,"Toei Animation"
1132,"Production Reed"
1133,Sunrise
1134,"Bee Media"
1135,J.C.Staff
1136,Madhouse
1136,"Production Reed"
1137,Artland
1138,A.C.G.T.
1139,Sunrise
1140,Sunrise
1141,Xebec
1142,Gainax
1143,Gainax
1143,"Group TAC"
1144,"Toei Animation"
1145,"Toei Animation"
1146,"Toei Animation"
1147,"Toei Animation"
1148,"Toei Animation"
1149,"Toei Animation"
1150,"Toei Animation"
1151,"Toei Animation"
1152,"Tatsunoko Production"
1153,AIC
1154,APPP
1155,Sunrise
1156,Sunrise
1157,Sunrise
1158,Sunrise
1159,Madhouse
1160,Madhouse
1161,AIC
1161,"animate Film"
1162,AIC
1164,Arms
1167,"Tokyo Kids"
1169,"Toei Animation"
1170,"Studio Pierrot"
1171,Madhouse
1172,"Studio Pierrot"
1174,"Production Reed"
1175,"Zero-G Room"
1176,"Zero-G Room"
1177,"Toei Animation"
1177,"Studio World"
1178,"Studio Deen"
1179,Sunrise
1180,Madhouse
1181,Gonzo
1182,"Studio Pierrot"
1182,"Studio Deen"
1183,"Studio Fantasia"
1184,APPP
1185,"Studio Fantasia"
1186,"Studio Fantasia"
1187,"The Answer Studio"
1188,APPP
1189,"Toei Animation"
1190,"Toei Animation"
1190,"Studio World"
1191,"Studio 4Â°C"
1191,Madhouse
1192,Madhouse
1193,Xebec
1194,"Toei Animation"
1195,Sunrise
1196,"Production I.G"
1197,"Production I.G"
1198,J.C.Staff
1198,"Production Reed"
1199,"Studio Deen"
1200,"Toei Animation"
1201,Gallop
1202,Madhouse
1203,AIC
1205,"Nippon Animation"
1206,"Production I.G"
1208,"Toei Animation"
1209,J.C.Staff
1212,"Production Reed"
1212,D.A.S.T.
1212,"Studio 88"
1213,"Studio 88"
1215,J.C.Staff
1216,"Toei Animation"
1217,AIC
1217,Artmic
1218,Artmic
1218,Darts
1218,AIC
1219,Darts
1220,Plum
1221,AIC
1222,D.A.S.T.
1223,Madhouse
1224,"Phoenix Entertainment"
1226,"Toei Animation"
1227,A.C.G.T.
1228,"Toei Animation"
1229,Arms
1231,"Square Enix"
1232,"Group TAC"
1233,"TMS Entertainment"
1234,"TMS Entertainment"
1235,"TMS Entertainment"
1236,"TMS Entertainment"
1237,"TMS Entertainment"
1238,"TMS Entertainment"
1239,"TMS Entertainment"
1240,"Studio Deen"
1241,"Tezuka Productions"
1242,"Studio Deen"
1243,"Tezuka Productions"
1244,OLM
1245,"Nippon Animation"
1246,"Toei Animation"
1247,"Azeta Pictures"
1248,J.C.Staff
1249,A.C.G.T.
1251,Sunrise
1252,Sunrise
1253,AIC
1254,AIC
1256,AT-2
1257,AT-2
1258,AT-2
1259,Arms
1261,Sunrise
1262,Sunrise
1263,Sunrise
1264,Sunrise
1265,Sunrise
1266,Sunrise
1267,"Production Reed"
1268,"Production Reed"
1269,"Production Reed"
1270,"Production Reed"
1271,"Studio Jam"
1274,Arms
1278,Imagin
1279,"Production I.G"
1280,"Production I.G"
1281,"Production Reed"
1282,"Tokyo Movie Shinsha"
1283,"TMS Entertainment"
1284,"TMS Entertainment"
1286,"Tokyo Movie Shinsha"
1288,"TMS Entertainment"
1291,"Tokyo Movie Shinsha"
1292,"TMS Entertainment"
1294,"TMS Entertainment"
1295,"Tokyo Movie Shinsha"
1296,"Tokyo Movie Shinsha"
1297,"TMS Entertainment"
1299,"TMS Entertainment"
1300,"Tokyo Movie Shinsha"
1302,"Tokyo Movie Shinsha"
1303,"Tokyo Movie Shinsha"
1305,"Tokyo Movie Shinsha"
1307,"Tokyo Movie Shinsha"
1311,"Group TAC"
1312,Madhouse
1313,AIC
1314,AIC
1315,"Tatsunoko Production"
1316,"Toei Animation"
1317,Sunrise
1318,"Production Reed"
1320,"Studio Deen"
1321,Madhouse
1322,"Phoenix Entertainment"
1323,TNK
1324,"Studio Pierrot"
1325,"Tatsunoko Production"
1326,"Tatsunoko Production"
1327,"Tatsunoko Production"
1328,Madhouse
1328,"Studio 4Â°C"
1329,"Studio Deen"
1330,"Studio Junio"
1330,Annapuru
1331,"Studio Pierrot"
1332,"TMS Entertainment"
1333,Sunrise
1334,Sunrise
1335,Sunrise
1336,Sunrise
1337,Sunrise
1337,"Production Reed"
1338,Sunrise
1339,Sunrise
1340,Sunrise
1342,Sunrise
1343,J.C.Staff
1344,"Studio Pierrot"
1345,"TMS Entertainment"
1346,Madhouse
1347,J.C.Staff
1348,"Studio Pierrot"
1349,Gallop
1350,"Bee Train"
1351,"Studio Pierrot"
1352,Remic
1353,Planet
1354,"Toei Animation"
1355,"TMS Entertainment"
1356,"TMS Entertainment"
1357,J.C.Staff
1358,"Vega Entertainment"
1359,Madhouse
1361,"Group TAC"
1363,"Hal Film Maker"
1365,AIC
1368,"TMS Entertainment"
1369,"TMS Entertainment"
1370,APPP
1371,"Studio Comet"
1376,TNK
1377,"Studio Fantasia"
1378,SynergySP
1379,Radix
1380,Madhouse
1381,"Tezuka Productions"
1382,"Tezuka Productions"
1383,"Production I.G"
1384,OLM
1385,OLM
1386,OLM
1387,Artmic
1389,"Kyoto Animation"
1390,J.C.Staff
1391,Zexcs
1392,OLM
1393,"Toei Animation"
1394,Madhouse
1395,Xebec
1396,"Toei Animation"
1397,Gonzo
1397,AIC
