anime_id,rating,rating_description
11990,PG13,"Teens 13 or older"
11991,PG13,"Teens 13 or older"
11992,PG13,"Teens 13 or older"
11993,PG13,"Teens 13 or older"
11994,PG13,"Teens 13 or older"
11995,G,"All Ages"
11996,NULL,NULL
11997,G,"All Ages"
11998,PG13,"Teens 13 or older"
11999,G,"All Ages"
12000,G,"All Ages"
12001,G,"All Ages"
12002,PG,Children
12003,PG13,"Teens 13 or older"
12004,PG13,"Teens 13 or older"
12005,PG,Children
12006,PG,Children
12007,PG,Children
12008,G,"All Ages"
12009,PG13,"Teens 13 or older"
12010,G,"All Ages"
12011,PG,Children
12012,PG,Children
12013,G,"All Ages"
12014,G,"All Ages"
12015,G,"All Ages"
12016,PG13,"Teens 13 or older"
12017,G,"All Ages"
12018,R17+,"violence & profanity"
12019,PG13,"Teens 13 or older"
12020,PG13,"Teens 13 or older"
12021,G,"All Ages"
12022,G,"All Ages"
12023,G,"All Ages"
12024,PG13,"Teens 13 or older"
12025,G,"All Ages"
12026,R+,"Mild Nudity"
12027,R+,"Mild Nudity"
12028,G,"All Ages"
12029,PG13,"Teens 13 or older"
12030,PG13,"Teens 13 or older"
12031,PG13,"Teens 13 or older"
12032,G,"All Ages"
12033,PG13,"Teens 13 or older"
12034,G,"All Ages"
12035,PG13,"Teens 13 or older"
12036,PG13,"Teens 13 or older"
12037,PG13,"Teens 13 or older"
12038,PG13,"Teens 13 or older"
12039,G,"All Ages"
12040,G,"All Ages"
12041,NULL,NULL
12042,NULL,NULL
12043,PG,Children
12044,PG13,"Teens 13 or older"
12045,PG13,"Teens 13 or older"
12046,R+,"Mild Nudity"
12047,PG13,"Teens 13 or older"
12048,PG13,"Teens 13 or older"
12049,Rx,Hentai
12050,NULL,NULL
12051,PG13,"Teens 13 or older"
12052,PG13,"Teens 13 or older"
12053,PG13,"Teens 13 or older"
12054,PG13,"Teens 13 or older"
12055,PG13,"Teens 13 or older"
12056,PG13,"Teens 13 or older"
12057,PG13,"Teens 13 or older"
12058,PG13,"Teens 13 or older"
12059,PG13,"Teens 13 or older"
12060,NULL,NULL
12061,Rx,Hentai
12062,Rx,Hentai
12063,G,"All Ages"
12064,PG13,"Teens 13 or older"
12065,PG,Children
12066,PG,Children
12067,PG13,"Teens 13 or older"
12068,PG13,"Teens 13 or older"
12069,R17+,"violence & profanity"
12070,PG13,"Teens 13 or older"
12071,PG13,"Teens 13 or older"
12072,R17+,"violence & profanity"
12073,G,"All Ages"
12074,PG13,"Teens 13 or older"
12075,G,"All Ages"
12076,PG,Children
12077,PG,Children
12078,PG13,"Teens 13 or older"
12079,PG13,"Teens 13 or older"
12080,PG13,"Teens 13 or older"
12081,NULL,NULL
12082,PG13,"Teens 13 or older"
12083,PG13,"Teens 13 or older"
12084,G,"All Ages"
12085,PG13,"Teens 13 or older"
12086,R17+,"violence & profanity"
12087,PG13,"Teens 13 or older"
12088,R17+,"violence & profanity"
12089,PG,Children
12090,PG,Children
12091,PG,Children
12092,PG,Children
12093,G,"All Ages"
12094,G,"All Ages"
12095,G,"All Ages"
12096,G,"All Ages"
12097,R+,"Mild Nudity"
12098,G,"All Ages"
12099,PG13,"Teens 13 or older"
12100,PG13,"Teens 13 or older"
12101,PG13,"Teens 13 or older"
12102,G,"All Ages"
12103,G,"All Ages"
12104,PG13,"Teens 13 or older"
12105,G,"All Ages"
12106,G,"All Ages"
12107,PG13,"Teens 13 or older"
12108,PG13,"Teens 13 or older"
12109,PG13,"Teens 13 or older"
