anime_id,rating,rating_description
11236,G,"All Ages"
11237,PG13,"Teens 13 or older"
11238,PG13,"Teens 13 or older"
11239,G,"All Ages"
11240,PG,Children
11241,PG13,"Teens 13 or older"
11242,G,"All Ages"
11243,G,"All Ages"
11244,G,"All Ages"
11245,G,"All Ages"
11246,G,"All Ages"
11247,G,"All Ages"
11248,G,"All Ages"
11249,G,"All Ages"
11250,G,"All Ages"
11251,PG13,"Teens 13 or older"
11252,PG,Children
11253,PG13,"Teens 13 or older"
11254,PG13,"Teens 13 or older"
11255,G,"All Ages"
11256,G,"All Ages"
11257,G,"All Ages"
11258,R+,"Mild Nudity"
11259,PG13,"Teens 13 or older"
11260,PG13,"Teens 13 or older"
11261,PG13,"Teens 13 or older"
11262,PG13,"Teens 13 or older"
11263,R17+,"violence & profanity"
11264,PG13,"Teens 13 or older"
11265,PG,Children
11266,Rx,Hentai
11267,PG,Children
11268,PG13,"Teens 13 or older"
11269,PG13,"Teens 13 or older"
11270,PG13,"Teens 13 or older"
11271,R+,"Mild Nudity"
11272,PG13,"Teens 13 or older"
11273,G,"All Ages"
11274,G,"All Ages"
11275,G,"All Ages"
11276,G,"All Ages"
11277,G,"All Ages"
11278,G,"All Ages"
11279,G,"All Ages"
11280,PG13,"Teens 13 or older"
11281,G,"All Ages"
11282,PG,Children
11283,G,"All Ages"
11284,PG13,"Teens 13 or older"
11285,Rx,Hentai
11286,Rx,Hentai
11287,PG13,"Teens 13 or older"
11288,R17+,"violence & profanity"
11289,G,"All Ages"
11290,PG13,"Teens 13 or older"
11291,G,"All Ages"
11292,G,"All Ages"
11293,G,"All Ages"
11294,G,"All Ages"
11295,G,"All Ages"
11296,G,"All Ages"
11297,G,"All Ages"
11298,G,"All Ages"
11299,PG13,"Teens 13 or older"
11300,G,"All Ages"
11301,Rx,Hentai
11302,R17+,"violence & profanity"
11303,G,"All Ages"
11304,G,"All Ages"
11305,R17+,"violence & profanity"
11306,PG13,"Teens 13 or older"
11307,PG13,"Teens 13 or older"
11308,G,"All Ages"
11309,PG13,"Teens 13 or older"
11310,PG13,"Teens 13 or older"
11311,PG13,"Teens 13 or older"
11312,G,"All Ages"
11313,G,"All Ages"
11314,PG,Children
11315,G,"All Ages"
11316,G,"All Ages"
11317,G,"All Ages"
11318,PG,Children
11319,PG,Children
11320,PG,Children
11321,PG13,"Teens 13 or older"
11322,PG,Children
11323,PG,Children
11324,G,"All Ages"
11325,R+,"Mild Nudity"
11326,PG13,"Teens 13 or older"
11327,PG13,"Teens 13 or older"
11328,G,"All Ages"
11329,PG13,"Teens 13 or older"
11330,G,"All Ages"
11331,PG13,"Teens 13 or older"
11332,G,"All Ages"
11333,G,"All Ages"
11334,G,"All Ages"
11335,G,"All Ages"
11336,G,"All Ages"
11337,G,"All Ages"
11338,Rx,Hentai
11339,PG,Children
11340,PG13,"Teens 13 or older"
11341,PG13,"Teens 13 or older"
11342,PG13,"Teens 13 or older"
11343,G,"All Ages"
11344,R17+,"violence & profanity"
11345,R17+,"violence & profanity"
11346,G,"All Ages"
11347,R+,"Mild Nudity"
11348,PG13,"Teens 13 or older"
11349,PG13,"Teens 13 or older"
11350,PG13,"Teens 13 or older"
11351,G,"All Ages"
11352,G,"All Ages"
11353,G,"All Ages"
11354,G,"All Ages"
11355,G,"All Ages"
11356,G,"All Ages"
11357,Rx,Hentai
11358,PG13,"Teens 13 or older"
11359,G,"All Ages"
11360,R+,"Mild Nudity"
11361,G,"All Ages"
11362,PG,Children
11363,PG13,"Teens 13 or older"
11364,G,"All Ages"
11365,G,"All Ages"
11366,G,"All Ages"
11367,G,"All Ages"
11368,G,"All Ages"
11369,G,"All Ages"
11370,Rx,Hentai
11371,G,"All Ages"
11372,PG13,"Teens 13 or older"
11373,R17+,"violence & profanity"
11374,G,"All Ages"
11375,PG13,"Teens 13 or older"
11376,G,"All Ages"
11377,PG13,"Teens 13 or older"
11378,NULL,NULL
11379,G,"All Ages"
11380,PG13,"Teens 13 or older"
11381,G,"All Ages"
11382,G,"All Ages"
11383,G,"All Ages"
11384,G,"All Ages"
11385,G,"All Ages"
11386,PG,Children
11387,PG13,"Teens 13 or older"
11388,Rx,Hentai
11389,R+,"Mild Nudity"
11390,G,"All Ages"
11391,PG13,"Teens 13 or older"
11392,PG13,"Teens 13 or older"
11393,PG13,"Teens 13 or older"
11394,PG13,"Teens 13 or older"
11395,Rx,Hentai
11396,G,"All Ages"
11397,PG13,"Teens 13 or older"
11398,PG13,"Teens 13 or older"
11399,PG13,"Teens 13 or older"
11400,PG13,"Teens 13 or older"
11401,PG13,"Teens 13 or older"
11402,PG13,"Teens 13 or older"
11403,PG13,"Teens 13 or older"
11404,PG13,"Teens 13 or older"
11405,PG13,"Teens 13 or older"
11406,R17+,"violence & profanity"
11407,PG13,"Teens 13 or older"
11408,PG13,"Teens 13 or older"
11409,PG,Children
11410,PG13,"Teens 13 or older"
11411,R17+,"violence & profanity"
11412,PG,Children
11413,G,"All Ages"
11414,G,"All Ages"
11415,R17+,"violence & profanity"
11416,G,"All Ages"
11417,PG13,"Teens 13 or older"
11418,PG13,"Teens 13 or older"
11419,G,"All Ages"
11420,PG,Children
11421,Rx,Hentai
11422,PG,Children
11423,G,"All Ages"
11424,R17+,"violence & profanity"
11425,G,"All Ages"
11426,NULL,NULL
11427,PG13,"Teens 13 or older"
11428,PG,Children
11429,R+,"Mild Nudity"
11430,PG13,"Teens 13 or older"
11431,PG13,"Teens 13 or older"
11432,PG13,"Teens 13 or older"
11433,G,"All Ages"
11434,G,"All Ages"
11435,R17+,"violence & profanity"
11436,PG13,"Teens 13 or older"
11437,Rx,Hentai
11438,G,"All Ages"
11439,G,"All Ages"
11440,G,"All Ages"
11441,PG13,"Teens 13 or older"
11442,G,"All Ages"
11443,G,"All Ages"
11444,G,"All Ages"
11445,G,"All Ages"
11446,G,"All Ages"
11447,G,"All Ages"
11448,PG13,"Teens 13 or older"
11449,G,"All Ages"
11450,PG13,"Teens 13 or older"
