anime_id,source
517,Manga
518,Other
519,Manga
520,Original
521,Original
522,Original
523,Original
524,Manga
525,Original
526,Original
527,Game
528,Game
529,Manga
530,Original
531,Original
532,Manga
533,Original
534,Original
535,"Light novel"
536,Manga
537,Original
538,Manga
539,Original
540,Novel
541,Manga
542,Manga
543,Novel
544,Original
545,Other
546,Original
547,Manga
548,Original
549,Manga
550,Other
551,"Light novel"
552,Manga
553,Manga
554,"Light novel"
555,Manga
556,Game
557,Original
558,Manga
559,Manga
560,Manga
561,Other
562,NULL
563,Original
564,Original
565,Manga
566,Original
567,Original
568,Original
569,Original
570,Original
571,Original
572,"Visual novel"
573,Manga
574,"Visual novel"
575,Novel
576,"Light novel"
577,NULL
578,Original
579,Original
580,Manga
581,Original
582,Original
583,Game
584,Manga
585,"Visual novel"
586,"Visual novel"
587,Manga
588,Manga
589,"Visual novel"
590,Manga
591,Manga
592,Original
593,NULL
594,Manga
595,Manga
596,Manga
597,Manga
598,Original
599,Original
600,Manga
601,Manga
602,NULL
603,Manga
604,Manga
605,Manga
606,"Visual novel"
607,"Visual novel"
608,Manga
609,Manga
610,"Visual novel"
611,Original
612,Original
613,NULL
614,Game
615,"Visual novel"
616,Manga
617,"4-koma manga"
618,Manga
619,"Visual novel"
620,Manga
621,Manga
622,Manga
623,Manga
624,Manga
625,Other
626,"Visual novel"
627,Other
628,Original
629,"Visual novel"
630,"Visual novel"
631,Original
632,NULL
633,NULL
634,"Visual novel"
635,Original
636,NULL
637,NULL
638,"Visual novel"
639,NULL
640,Manga
641,Original
642,Original
643,Manga
644,Manga
645,"Visual novel"
646,Original
647,"Visual novel"
648,"Visual novel"
649,Original
650,"Visual novel"
651,NULL
652,"Visual novel"
653,"Visual novel"
654,Novel
655,Original
656,Manga
657,Original
658,NULL
659,"Visual novel"
660,Manga
661,Manga
662,Manga
663,"Light novel"
664,Original
665,Manga
666,NULL
667,"Visual novel"
668,"Visual novel"
669,NULL
670,Manga
671,Manga
672,Music
673,"Light novel"
674,Manga
675,Manga
676,Manga
677,Manga
678,Manga
679,Manga
680,Novel
681,Radio
682,"Light novel"
683,Manga
684,"Visual novel"
685,NULL
686,Manga
687,Game
688,Manga
689,"Visual novel"
690,Book
691,Novel
692,"Visual novel"
693,Book
694,Original
695,Original
696,Manga
697,Manga
698,Manga
699,NULL
700,NULL
701,Original
702,"Visual novel"
703,Original
704,Original
705,Original
706,"Visual novel"
707,Original
708,Manga
709,Manga
710,Manga
711,Manga
712,Manga
713,Original
714,Manga
715,Other
716,NULL
717,Manga
718,"Light novel"
719,Original
720,Manga
721,Manga
722,Manga
723,Manga
724,Manga
725,Manga
726,Original
727,Manga
728,Original
729,Manga
730,NULL
731,Manga
732,Manga
733,Manga
734,Original
735,Manga
736,Manga
737,Manga
738,Original
739,NULL
740,Manga
741,Manga
742,Novel
743,Manga
744,Manga
745,Manga
746,Manga
747,Game
748,Original
749,NULL
750,"Visual novel"
751,Original
752,Original
753,Original
754,Manga
755,"Light novel"
756,"Light novel"
757,Manga
758,Manga
759,Game
760,Manga
761,Manga
762,Manga
763,NULL
764,Original
765,Manga
766,Manga
767,"Light novel"
768,"Visual novel"
769,Manga
770,Manga
771,Manga
772,"Visual novel"
773,Other
774,"Visual novel"
775,Manga
776,Game
777,Original
778,Game
779,Manga
780,Manga
781,Original
782,Original
783,"Light novel"
784,"Light novel"
785,"Light novel"
786,"Light novel"
787,Manga
788,Original
789,Original
790,Original
791,Manga
792,Game
793,Manga
794,Original
795,Original
796,Manga
797,"Visual novel"
798,Manga
799,Manga
800,Manga
801,Original
802,Manga
803,NULL
804,Manga
805,Manga
806,Original
807,Manga
808,Manga
809,Manga
810,Manga
811,Manga
812,Manga
813,Manga
814,Manga
815,Manga
816,Manga
817,Manga
818,Manga
819,Manga
820,Manga
821,Manga
822,Manga
823,Manga
824,Manga
825,Original
826,Original
827,NULL
828,Manga
829,Manga
830,Manga
831,Manga
832,Manga
833,Manga
834,Manga
835,Manga
836,Original
837,Original
838,NULL
839,Other
840,NULL
841,NULL
842,Other
843,Novel
844,Original
845,Manga
846,Manga
847,"Visual novel"
848,Other
849,Manga
850,Manga
851,NULL
852,"Light novel"
853,Original
854,"Light novel"
855,Manga
856,"Light novel"
857,Original
858,Game
859,Manga
860,NULL
861,Manga
862,Original
863,"Light novel"
864,Original
865,Novel
866,Novel
867,Game
868,Manga
869,NULL
870,Original
871,NULL
872,Manga
873,Manga
874,Manga
875,Manga
876,Manga
877,Manga
878,"Visual novel"
879,Original
880,Original
881,Manga
882,Manga
883,Original
884,NULL
885,Game
886,Original
887,Manga
888,Original
889,Original
890,Manga
891,Manga
892,Manga
893,Manga
894,NULL
895,NULL
896,"Light novel"
897,Manga
898,Original
899,Original
900,NULL
901,Manga
902,Manga
903,Manga
904,Manga
905,NULL
906,Manga
907,Original
908,Original
909,Manga
910,Original
911,Game
912,NULL
913,Manga
914,Manga
915,Game
916,NULL
917,Manga
918,Manga
919,Original
920,Original
921,Manga
922,Manga
923,"Light novel"
924,"Light novel"
925,"Light novel"
926,"Light novel"
927,Manga
928,Original
929,Original
930,NULL
931,Original
932,Manga
933,Game
934,Novel
935,Manga
936,Original
937,Original
938,Novel
939,Original
940,Original
941,NULL
942,Manga
943,NULL
944,"Visual novel"
945,"Visual novel"
946,Manga
947,Manga
948,Manga
949,Manga
950,Other
951,Manga
952,Manga
953,Music
954,Original
955,Book
956,Manga
957,Manga
958,NULL
959,NULL
960,Manga
961,Manga
962,Manga
963,Game
964,NULL
965,Manga
966,Manga
