anime_id,duration
267,"26 min. per ep."
268,"25 min. per ep."
269,"24 min. per ep."
270,"4 min. per ep."
271,"24 min. per ep."
272,"24 min. per ep."
273,"25 min. per ep."
274,"25 min. per ep."
275,"23 min. per ep."
276,"33 min. per ep."
277,"30 min. per ep."
278,"25 min. per ep."
279,"29 min. per ep."
280,"7 min. per ep."
281,"1 hr. 46 min."
282,"18 min. per ep."
283,"24 min. per ep."
284,"24 min. per ep."
285,"25 min. per ep."
286,"24 min. per ep."
287,"25 min. per ep."
288,"24 min. per ep."
289,"24 min. per ep."
290,"1 hr. 30 min."
291,"24 min. per ep."
292,"1 hr. 24 min."
293,"24 min. per ep."
294,"1 hr. 41 min."
295,"23 min. per ep."
296,"30 min. per ep."
297,"26 min. per ep."
298,"23 min. per ep."
299,"24 min. per ep."
300,"24 min. per ep."
301,"25 min. per ep."
302,"24 min. per ep."
303,"22 min. per ep."
304,"25 min. per ep."
305,"24 min. per ep."
306,"25 min. per ep."
307,"24 min. per ep."
308,"23 min. per ep."
309,"23 min. per ep."
310,"24 min. per ep."
311,"24 min. per ep."
312,"24 min. per ep."
313,"24 min. per ep."
314,"11 min. per ep."
315,"24 min. per ep."
316,"23 min. per ep."
317,"23 min. per ep."
318,"23 min. per ep."
319,"24 min. per ep."
320,"24 min. per ep."
321,"25 min. per ep."
322,"25 min. per ep."
323,"12 min. per ep."
324,"24 min. per ep."
325,"13 min. per ep."
326,"24 min. per ep."
327,"24 min. per ep."
328,"24 min. per ep."
329,"24 min. per ep."
330,"24 min. per ep."
331,"14 min. per ep."
332,"24 min. per ep."
333,"24 min. per ep."
334,"25 min. per ep."
335,"27 min. per ep."
336,"30 min. per ep."
337,"23 min. per ep."
338,"30 min. per ep."
339,"30 min. per ep."
340,"27 min. per ep."
341,"25 min. per ep."
342,"55 min."
343,"30 min. per ep."
344,"24 min. per ep."
345,"30 min. per ep."
346,"24 min. per ep."
347,"25 min. per ep."
348,"1 hr. 21 min."
349,"1 hr. 22 min."
350,"28 min. per ep."
351,"24 min. per ep."
352,"23 min. per ep."
353,"25 min."
354,"25 min. per ep."
355,"1 hr. 2 min."
356,"24 min. per ep."
357,"28 min. per ep."
358,"33 min. per ep."
359,"28 min. per ep."
360,"13 min. per ep."
361,"22 min. per ep."
362,"23 min. per ep."
363,"24 min. per ep."
364,"24 min. per ep."
365,"23 min. per ep."
366,"30 min. per ep."
367,"23 min. per ep."
368,"30 min. per ep."
369,"24 min. per ep."
370,"1 hr. 37 min."
371,"23 min. per ep."
372,"23 min. per ep."
373,"25 min. per ep."
374,"25 min. per ep."
375,"37 min. per ep."
376,"2 hr."
377,"25 min. per ep."
378,"42 min. per ep."
379,"37 min."
380,"14 min. per ep."
381,"26 min. per ep."
382,"48 min."
383,"25 min. per ep."
384,"25 min. per ep."
385,"25 min."
386,"24 min. per ep."
387,"24 min. per ep."
388,"19 min."
389,"1 hr. 44 min."
390,"1 hr. 33 min."
391,"24 min. per ep."
392,"1 hr. 14 min."
393,"24 min. per ep."
394,"1 hr. 30 min."
395,"23 min. per ep."
396,"30 min. per ep."
397,"26 min. per ep."
398,"25 min. per ep."
399,"26 min. per ep."
400,"30 min. per ep."
401,"23 min. per ep."
402,"24 min."
403,"50 min."
404,"1 hr. 45 min."
405,"1 hr. 59 min."
406,"27 min. per ep."
407,"1 hr. 30 min."
408,"42 min."
409,"24 min. per ep."
410,"1 hr. 20 min."
411,"30 min. per ep."
412,"45 min. per ep."
413,"23 min. per ep."
414,"1 hr. 30 min."
415,"1 hr. 22 min."
416,"21 min."
417,"24 min. per ep."
418,"22 min. per ep."
419,"20 min. per ep."
420,"23 min. per ep."
421,"24 min. per ep."
422,"1 hr. 27 min."
423,"1 hr. 39 min."
424,"1 hr. 38 min."
425,"1 hr. 39 min."
426,"26 min."
427,"24 min. per ep."
428,"25 min. per ep."
429,"25 min. per ep."
430,"27 min. per ep."
431,"50 min."
432,"55 min."
433,"55 min."
434,"1 hr. 35 min."
435,"1 hr. 35 min."
436,"1 hr. 31 min."
437,"1 hr. 34 min."
438,"28 min."
439,"25 min. per ep."
440,"1 hr. 39 min."
441,"23 min. per ep."
442,"24 min. per ep."
443,"24 min. per ep."
444,"25 min. per ep."
445,"23 min. per ep."
446,"39 min. per ep."
447,"40 min."
448,"24 min. per ep."
449,"24 min. per ep."
450,"24 min. per ep."
451,"23 min. per ep."
452,"23 min. per ep."
453,"23 min. per ep."
454,"23 min. per ep."
455,"1 hr. 35 min."
456,"5 min. per ep."
457,"24 min. per ep."
458,"23 min. per ep."
459,"24 min. per ep."
460,"26 min. per ep."
461,"24 min. per ep."
462,"1 hr. 30 min."
463,"1 hr. 32 min."
464,"25 min. per ep."
465,"2 hr. 12 min."
466,"24 min. per ep."
467,"45 min. per ep."
468,"1 hr. 19 min."
469,"25 min. per ep."
470,"50 min."
471,"30 min. per ep."
472,"1 hr. 36 min."
473,"24 min. per ep."
474,"24 min. per ep."
475,"26 min. per ep."
476,"25 min. per ep."
477,"25 min. per ep."
478,"24 min. per ep."
479,"25 min. per ep."
480,"1 hr. 45 min."
481,"2 hr. 5 min."
482,"36 min. per ep."
483,"1 hr. 20 min."
484,"23 min. per ep."
485,"25 min. per ep."
486,"23 min. per ep."
487,"23 min. per ep."
488,"30 min."
489,"24 min. per ep."
490,"1 hr. 49 min."
491,"1 hr. 26 min."
492,"25 min."
493,"23 min. per ep."
494,"30 min. per ep."
495,"24 min. per ep."
496,"1 hr. 25 min."
497,"24 min. per ep."
498,"24 min. per ep."
499,"1 hr. 1 min."
500,"24 min. per ep."
501,"23 min. per ep."
502,"22 min. per ep."
503,"24 min. per ep."
504,"1 hr. 6 min."
505,"28 min. per ep."
506,"23 min. per ep."
507,"29 min. per ep."
508,"33 min. per ep."
509,"30 min. per ep."
510,"1 hr. 42 min."
511,"1 hr. 43 min."
512,"24 min. per ep."
513,"12 min. per ep."
514,"29 min. per ep."
515,"1 hr. 23 min."
516,"24 min. per ep."
517,"24 min. per ep."
518,"24 min. per ep."
519,"23 min. per ep."
520,"15 min. per ep."
521,"15 min. per ep."
522,"15 min. per ep."
523,"15 min. per ep."
524,"25 min. per ep."
525,"15 min."
526,"51 min."
527,"24 min. per ep."
528,"31 min. per ep."
529,"23 min. per ep."
530,"30 min. per ep."
531,"2 hr. 6 min."
532,"33 min. per ep."
533,"24 min. per ep."
534,"24 min. per ep."
535,"23 min. per ep."
536,"1 hr. 42 min."
537,"29 min. per ep."
538,"1 hr. 57 min."
539,"25 min. per ep."
540,"24 min. per ep."
541,"24 min. per ep."
542,"24 min. per ep."
543,"1 hr. 28 min."
544,"12 min. per ep."
545,"4 min. per ep."
546,"33 min. per ep."
547,"8 min. per ep."
548,"25 min. per ep."
549,"1 hr. 51 min."
550,"23 min. per ep."
551,"24 min. per ep."
552,"28 min. per ep."
553,"23 min. per ep."
554,"24 min. per ep."
555,"24 min. per ep."
556,"23 min. per ep."
557,"23 min. per ep."
558,"40 min."
559,"22 min."
560,"6 min."
561,"1 hr. 15 min."
562,"23 min. per ep."
563,"30 min. per ep."
564,"5 min. per ep."
565,"32 min."
566,"29 min. per ep."
567,"24 min. per ep."
568,"24 min. per ep."
569,"23 min. per ep."
570,"24 min. per ep."
571,"24 min. per ep."
572,"1 hr. 25 min."
573,"30 min. per ep."
574,"24 min. per ep."
575,"6 min. per ep."
576,"25 min. per ep."
577,"23 min. per ep."
578,"24 min. per ep."
579,"24 min. per ep."
580,"24 min. per ep."
581,"1 hr. 34 min."
582,"24 min. per ep."
583,"48 min."
584,"24 min. per ep."
585,"25 min. per ep."
586,"30 min. per ep."
587,"24 min. per ep."
588,"14 min. per ep."
589,"30 min. per ep."
590,"24 min. per ep."
591,"25 min. per ep."
592,"28 min. per ep."
593,"24 min. per ep."
594,"23 min."
595,"24 min."
596,"24 min. per ep."
597,"24 min. per ep."
598,"25 min. per ep."
599,"25 min. per ep."
600,"8 min. per ep."
601,"23 min."
602,"25 min."
603,"22 min. per ep."
604,"1 hr. 17 min."
605,"24 min. per ep."
606,"30 min. per ep."
607,"12 min. per ep."
608,"23 min. per ep."
609,"29 min. per ep."
610,"31 min."
611,"24 min. per ep."
612,"24 min. per ep."
613,"13 min. per ep."
614,"24 min. per ep."
615,"24 min. per ep."
616,"23 min. per ep."
617,"6 min."
618,"30 min. per ep."
619,"30 min. per ep."
620,"55 min."
621,"30 min. per ep."
622,"35 min. per ep."
623,"24 min. per ep."
624,"25 min. per ep."
625,"25 min. per ep."
626,"24 min. per ep."
627,"24 min. per ep."
628,"1 min. per ep."
629,"27 min. per ep."
630,"30 min. per ep."
631,"20 min. per ep."
632,"25 min. per ep."
633,"30 min. per ep."
634,"24 min."
635,"22 min. per ep."
636,"23 min. per ep."
637,"14 min. per ep."
638,"24 min. per ep."
639,"3 min. per ep."
640,"24 min. per ep."
641,"23 min. per ep."
642,"24 min."
643,"25 min. per ep."
644,"25 min. per ep."
645,"30 min. per ep."
646,"24 min. per ep."
647,"24 min. per ep."
648,"30 min. per ep."
649,"23 min. per ep."
650,"20 min."
651,"10 min."
652,"24 min. per ep."
653,"7 min. per ep."
654,"24 min. per ep."
655,"25 min. per ep."
656,"13 min. per ep."
657,"2 hr. 20 min."
658,"25 min. per ep."
659,"1 hr. 31 min."
660,"25 min. per ep."
661,"30 min. per ep."
662,"7 min. per ep."
663,"54 min. per ep."
664,"16 min. per ep."
665,"30 min."
666,"26 min."
667,"25 min. per ep."
668,"31 min."
669,"24 min. per ep."
670,"25 min. per ep."
671,"28 min. per ep."
672,"1 hr. 7 min."
673,"1 hr. 20 min."
674,"30 min. per ep."
675,"44 min."
676,"30 min."
677,"24 min. per ep."
678,"24 min. per ep."
679,"30 min."
680,"1 hr. 12 min."
681,"25 min. per ep."
682,"30 min. per ep."
683,"30 min. per ep."
684,"25 min. per ep."
685,"5 min. per ep."
686,"12 min. per ep."
687,"23 min. per ep."
688,"27 min."
689,"26 min. per ep."
690,"25 min. per ep."
691,"36 min. per ep."
692,"21 min."
693,"1 hr. 37 min."
694,"2 hr."
695,"1 hr. 32 min."
696,"1 hr. 32 min."
697,"17 min."
698,"29 min."
699,"25 min. per ep."
700,"24 min. per ep."
701,"14 min. per ep."
702,"24 min."
703,"46 min."
704,"27 min. per ep."
705,"23 min."
706,"24 min. per ep."
707,"30 min. per ep."
708,"25 min. per ep."
709,"50 min. per ep."
710,"1 hr. 34 min."
711,"1 hr. 39 min."
712,"1 hr. 40 min."
713,"25 min. per ep."
714,"23 min. per ep."
715,"48 min. per ep."
716,"3 min. per ep."
717,"30 min. per ep."
718,"25 min. per ep."
719,"25 min. per ep."
720,"2 hr."
721,"1 hr."
722,"1 hr."
723,"25 min. per ep."
724,"30 min."
725,"14 min. per ep."
726,"23 min. per ep."
727,"24 min. per ep."
728,"23 min. per ep."
729,"25 min. per ep."
730,"35 min."
731,"28 min. per ep."
732,"14 min. per ep."
733,"27 min. per ep."
734,"26 min. per ep."
735,"24 min. per ep."
736,"30 min."
737,"1 hr. 5 min."
738,"26 min. per ep."
739,"25 min. per ep."
740,"24 min. per ep."
741,"49 min."
742,"26 min. per ep."
743,"52 min."
744,"27 min. per ep."
745,"30 min."
746,"17 min. per ep."
747,"10 min. per ep."
748,"29 min. per ep."
749,"30 min. per ep."
750,"30 min. per ep."
751,"24 min. per ep."
752,"25 min. per ep."
753,"23 min. per ep."
754,"33 min."
755,"25 min. per ep."
756,"23 min. per ep."
757,"29 min. per ep."
758,"24 min. per ep."
759,"30 min. per ep."
760,"24 min. per ep."
761,"6 min. per ep."
762,"30 min. per ep."
763,"1 hr. 24 min."
764,"24 min. per ep."
765,"24 min. per ep."
766,"23 min."
767,"23 min. per ep."
768,"26 min. per ep."
769,"43 min. per ep."
770,"25 min. per ep."
771,"23 min. per ep."
772,"25 min. per ep."
773,"25 min. per ep."
774,"23 min. per ep."
775,"24 min. per ep."
776,"25 min. per ep."
777,"23 min. per ep."
778,"24 min. per ep."
779,"24 min. per ep."
780,"24 min. per ep."
781,"7 min. per ep."
782,"24 min. per ep."
783,"33 min."
784,"1 hr."
785,"59 min."
786,"1 hr."
787,"27 min. per ep."
788,"9 min. per ep."
789,"24 min. per ep."
790,"25 min. per ep."
791,"1 hr. 44 min."
792,"24 min. per ep."
793,"23 min. per ep."
794,"23 min. per ep."
795,"24 min. per ep."
796,"24 min. per ep."
797,"27 min."
798,"24 min."
799,"1 hr. 34 min."
800,"1 hr. 25 min."
801,"1 hr. 11 min."
802,"24 min. per ep."
803,"23 min."
804,"24 min. per ep."
805,"24 min. per ep."
806,"25 min. per ep."
807,"45 min."
808,"45 min."
809,"1 hr. 14 min."
810,"41 min."
811,"1 hr."
812,"1 hr. 1 min."
813,"51 min."
814,"46 min."
815,"45 min."
816,"45 min."
817,"1 hr. 10 min."
818,"50 min."
819,"50 min."
820,"50 min."
821,"55 min."
822,"51 min."
823,"24 min. per ep."
824,"7 min. per ep."
825,"23 min. per ep."
826,"24 min. per ep."
827,"1 hr. 24 min."
828,"24 min. per ep."
829,"25 min. per ep."
830,"24 min. per ep."
831,"24 min. per ep."
832,"24 min. per ep."
833,"46 min."
834,"24 min. per ep."
835,"24 min. per ep."
836,"27 min."
837,"24 min. per ep."
838,"24 min. per ep."
839,"23 min. per ep."
840,"23 min. per ep."
841,"24 min. per ep."
842,"24 min. per ep."
843,"24 min. per ep."
844,"25 min. per ep."
845,"11 min."
846,"24 min. per ep."
847,"24 min. per ep."
848,"24 min. per ep."
849,"1 hr. 37 min."
850,"1 hr. 6 min."
851,"27 min. per ep."
852,"23 min. per ep."
853,"24 min. per ep."
854,"24 min. per ep."
855,"24 min. per ep."
856,"23 min. per ep."
857,"30 min. per ep."
858,"42 min."
859,"24 min. per ep."
860,"22 min. per ep."
861,"22 min. per ep."
862,"24 min. per ep."
863,"25 min. per ep."
864,"24 min. per ep."
865,"24 min. per ep."
866,"20 min. per ep."
867,"25 min. per ep."
868,"24 min. per ep."
869,"25 min."
870,"13 min. per ep."
871,"24 min. per ep."
872,"21 min."
873,"25 min. per ep."
874,"25 min. per ep."
875,"25 min. per ep."
876,"23 min. per ep."
877,"24 min. per ep."
878,"30 min. per ep."
879,"24 min. per ep."
880,"53 min."
881,"29 min. per ep."
882,"32 min. per ep."
883,"45 min."
884,"25 min. per ep."
885,"1 hr. 30 min."
886,"12 min. per ep."
887,"29 min. per ep."
888,"29 min. per ep."
889,"5 min."
890,"30 min. per ep."
891,"48 min."
892,"47 min."
893,"44 min."
894,"26 min. per ep."
895,"51 min."
896,"25 min. per ep."
897,"30 min. per ep."
898,"25 min. per ep."
899,"29 min."
900,"22 min."
901,"23 min. per ep."
902,"24 min. per ep."
903,"1 hr."
904,"23 min. per ep."
905,"28 min. per ep."
906,"25 min. per ep."
907,"23 min."
908,"30 min. per ep."
909,"24 min. per ep."
910,"4 min."
911,"22 min. per ep."
912,"1 hr. 34 min."
913,"30 min. per ep."
914,"30 min. per ep."
915,"49 min."
916,"31 min."
917,"26 min. per ep."
918,"8 min. per ep."
919,"25 min. per ep."
920,"24 min. per ep."
921,"30 min."
922,"30 min. per ep."
923,"25 min. per ep."
924,"24 min. per ep."
925,"24 min. per ep."
926,"30 min. per ep."
927,"24 min. per ep."
928,"24 min. per ep."
929,"23 min. per ep."
930,"30 min. per ep."
931,"25 min. per ep."
932,"29 min. per ep."
933,"30 min. per ep."
934,"1 hr. 45 min."
935,"1 hr. 58 min."
936,"1 hr. 59 min."
937,"33 min."
938,"1 hr. 20 min."
939,"1 hr. 27 min."
940,"2 hr. 1 min."
941,"9 min. per ep."
942,"30 min. per ep."
943,"25 min. per ep."
