genre_id,genre
1,Action
2,Adventure
3,Comedy
4,SliceofLife
5,Drama
6,Sci-Fi
7,Samurai
8,Game
9,Harem
10,Military
11,Space
12,Music
13,Mecha
14,Supernatural
15,Historical
16,Mystery
17,School
18,Hentai
19,Fantasy
20,Ecchi
21,Horror
22,Kids
23,Sports
24,Dementia
25,Magic
26,Romance
27,Police
28,Psychological
29,Cars
30,Shounen
31,Demons
32,Parody
33,Shoujo
34,SuperPower
35,Vampire
36,MartialArts
37,Seinen
38,Yaoi
39,Thriller
40,Josei
41,ShounenAi
42,Yuri
43,ShoujoAi
