anime_id,rating_id,rating,rating_description
6144,2,PG13,"Teens 13 or older"
6145,6,Rx,Hentai
6146,5,G,"All Ages"
6147,5,G,"All Ages"
6148,6,Rx,Hentai
6149,2,PG13,"Teens 13 or older"
6150,4,R+,"Mild Nudity"
6151,2,PG13,"Teens 13 or older"
6152,2,PG13,"Teens 13 or older"
6153,3,PG,Children
6154,4,R+,"Mild Nudity"
6155,2,PG13,"Teens 13 or older"
6156,4,R+,"Mild Nudity"
6157,2,PG13,"Teens 13 or older"
6158,5,G,"All Ages"
6159,2,PG13,"Teens 13 or older"
6160,5,G,"All Ages"
6161,2,PG13,"Teens 13 or older"
6162,6,Rx,Hentai
6163,6,Rx,Hentai
6164,5,G,"All Ages"
6165,2,PG13,"Teens 13 or older"
6166,NULL,NULL,NULL
6167,2,PG13,"Teens 13 or older"
6168,2,PG13,"Teens 13 or older"
6169,5,G,"All Ages"
6170,2,PG13,"Teens 13 or older"
6171,5,G,"All Ages"
6172,5,G,"All Ages"
6173,5,G,"All Ages"
6174,2,PG13,"Teens 13 or older"
6175,2,PG13,"Teens 13 or older"
6176,NULL,NULL,NULL
6177,5,G,"All Ages"
6178,2,PG13,"Teens 13 or older"
6179,2,PG13,"Teens 13 or older"
6180,3,PG,Children
6181,2,PG13,"Teens 13 or older"
6182,5,G,"All Ages"
6183,6,Rx,Hentai
6184,2,PG13,"Teens 13 or older"
6185,3,PG,Children
6186,1,R17+,"violence & profanity"
6187,2,PG13,"Teens 13 or older"
6188,5,G,"All Ages"
6189,2,PG13,"Teens 13 or older"
6190,2,PG13,"Teens 13 or older"
6191,6,Rx,Hentai
6192,2,PG13,"Teens 13 or older"
6193,5,G,"All Ages"
6194,2,PG13,"Teens 13 or older"
6195,2,PG13,"Teens 13 or older"
6196,6,Rx,Hentai
6197,2,PG13,"Teens 13 or older"
6198,2,PG13,"Teens 13 or older"
6199,2,PG13,"Teens 13 or older"
6200,5,G,"All Ages"
6201,5,G,"All Ages"
6202,5,G,"All Ages"
6203,6,Rx,Hentai
6204,4,R+,"Mild Nudity"
6205,1,R17+,"violence & profanity"
6206,6,Rx,Hentai
6207,6,Rx,Hentai
6208,6,Rx,Hentai
6209,6,Rx,Hentai
6210,6,Rx,Hentai
6211,2,PG13,"Teens 13 or older"
6212,2,PG13,"Teens 13 or older"
6213,3,PG,Children
6214,3,PG,Children
6215,5,G,"All Ages"
6216,2,PG13,"Teens 13 or older"
6217,5,G,"All Ages"
6218,2,PG13,"Teens 13 or older"
6219,6,Rx,Hentai
6220,6,Rx,Hentai
6221,5,G,"All Ages"
6222,2,PG13,"Teens 13 or older"
6223,2,PG13,"Teens 13 or older"
6224,2,PG13,"Teens 13 or older"
6225,4,R+,"Mild Nudity"
6226,4,R+,"Mild Nudity"
6227,1,R17+,"violence & profanity"
6228,1,R17+,"violence & profanity"
6229,3,PG,Children
6230,2,PG13,"Teens 13 or older"
6231,2,PG13,"Teens 13 or older"
6232,2,PG13,"Teens 13 or older"
6233,2,PG13,"Teens 13 or older"
6234,6,Rx,Hentai
6235,1,R17+,"violence & profanity"
6236,1,R17+,"violence & profanity"
6237,2,PG13,"Teens 13 or older"
6238,2,PG13,"Teens 13 or older"
6239,5,G,"All Ages"
6240,3,PG,Children
6241,5,G,"All Ages"
6242,1,R17+,"violence & profanity"
6243,NULL,NULL,NULL
6244,5,G,"All Ages"
6245,5,G,"All Ages"
6246,5,G,"All Ages"
6247,2,PG13,"Teens 13 or older"
6248,2,PG13,"Teens 13 or older"
6249,2,PG13,"Teens 13 or older"
6250,2,PG13,"Teens 13 or older"
6251,2,PG13,"Teens 13 or older"
6252,5,G,"All Ages"
6253,5,G,"All Ages"
6254,2,PG13,"Teens 13 or older"
6255,2,PG13,"Teens 13 or older"
6256,2,PG13,"Teens 13 or older"
6257,5,G,"All Ages"
6258,2,PG13,"Teens 13 or older"
6259,3,PG,Children
6260,2,PG13,"Teens 13 or older"
6261,2,PG13,"Teens 13 or older"
6262,2,PG13,"Teens 13 or older"
6263,2,PG13,"Teens 13 or older"
6264,1,R17+,"violence & profanity"
6265,6,Rx,Hentai
6266,4,R+,"Mild Nudity"
6267,5,G,"All Ages"
6268,6,Rx,Hentai
6269,6,Rx,Hentai
6270,2,PG13,"Teens 13 or older"
6271,2,PG13,"Teens 13 or older"
6272,2,PG13,"Teens 13 or older"
6273,4,R+,"Mild Nudity"
6274,1,R17+,"violence & profanity"
6275,6,Rx,Hentai
6276,2,PG13,"Teens 13 or older"
6277,2,PG13,"Teens 13 or older"
6278,6,Rx,Hentai
6279,1,R17+,"violence & profanity"
6280,2,PG13,"Teens 13 or older"
6281,4,R+,"Mild Nudity"
6282,2,PG13,"Teens 13 or older"
6283,2,PG13,"Teens 13 or older"
6284,2,PG13,"Teens 13 or older"
6285,2,PG13,"Teens 13 or older"
6286,2,PG13,"Teens 13 or older"
6287,6,Rx,Hentai
6288,2,PG13,"Teens 13 or older"
6289,2,PG13,"Teens 13 or older"
6290,NULL,NULL,NULL
6291,NULL,NULL,NULL
6292,NULL,NULL,NULL
6293,2,PG13,"Teens 13 or older"
6294,5,G,"All Ages"
6295,4,R+,"Mild Nudity"
6296,4,R+,"Mild Nudity"
6297,2,PG13,"Teens 13 or older"
6298,2,PG13,"Teens 13 or older"
6299,4,R+,"Mild Nudity"
6300,5,G,"All Ages"
6301,2,PG13,"Teens 13 or older"
6302,5,G,"All Ages"
6303,2,PG13,"Teens 13 or older"
6304,2,PG13,"Teens 13 or older"
6305,5,G,"All Ages"
6306,2,PG13,"Teens 13 or older"
6307,2,PG13,"Teens 13 or older"
6308,2,PG13,"Teens 13 or older"
6309,NULL,NULL,NULL
6310,2,PG13,"Teens 13 or older"
6311,5,G,"All Ages"
6312,6,Rx,Hentai
6313,2,PG13,"Teens 13 or older"
6314,5,G,"All Ages"
6315,3,PG,Children
6316,4,R+,"Mild Nudity"
6317,6,Rx,Hentai
6318,3,PG,Children
6319,3,PG,Children
6320,2,PG13,"Teens 13 or older"
6321,2,PG13,"Teens 13 or older"
6322,2,PG13,"Teens 13 or older"
6323,1,R17+,"violence & profanity"
6324,3,PG,Children
6325,5,G,"All Ages"
6326,1,R17+,"violence & profanity"
6327,6,Rx,Hentai
6328,6,Rx,Hentai
6329,6,Rx,Hentai
6330,5,G,"All Ages"
6331,2,PG13,"Teens 13 or older"
6332,2,PG13,"Teens 13 or older"
6333,5,G,"All Ages"
6334,5,G,"All Ages"
6335,2,PG13,"Teens 13 or older"
6336,2,PG13,"Teens 13 or older"
6337,2,PG13,"Teens 13 or older"
6338,2,PG13,"Teens 13 or older"
6339,2,PG13,"Teens 13 or older"
