anime_id,rating_id,rating,rating_description
4993,5,G,"All Ages"
4994,3,PG,Children
4995,6,Rx,Hentai
4996,5,G,"All Ages"
4997,5,G,"All Ages"
4998,5,G,"All Ages"
4999,2,PG13,"Teens 13 or older"
5000,5,G,"All Ages"
5001,2,PG13,"Teens 13 or older"
5002,2,PG13,"Teens 13 or older"
5003,5,G,"All Ages"
5004,2,PG13,"Teens 13 or older"
5005,5,G,"All Ages"
5006,5,G,"All Ages"
5007,5,G,"All Ages"
5008,5,G,"All Ages"
5009,5,G,"All Ages"
5010,5,G,"All Ages"
5011,5,G,"All Ages"
5012,4,R+,"Mild Nudity"
5013,6,Rx,Hentai
5014,6,Rx,Hentai
5015,6,Rx,Hentai
5016,2,PG13,"Teens 13 or older"
5017,5,G,"All Ages"
5018,2,PG13,"Teens 13 or older"
5019,2,PG13,"Teens 13 or older"
5020,5,G,"All Ages"
5021,4,R+,"Mild Nudity"
5022,2,PG13,"Teens 13 or older"
5023,1,R17+,"violence & profanity"
5024,3,PG,Children
5025,2,PG13,"Teens 13 or older"
5026,2,PG13,"Teens 13 or older"
5027,3,PG,Children
5028,2,PG13,"Teens 13 or older"
5029,2,PG13,"Teens 13 or older"
5030,5,G,"All Ages"
5031,5,G,"All Ages"
5032,5,G,"All Ages"
5033,5,G,"All Ages"
5034,5,G,"All Ages"
5035,5,G,"All Ages"
5036,5,G,"All Ages"
5037,5,G,"All Ages"
5038,5,G,"All Ages"
5039,5,G,"All Ages"
5040,5,G,"All Ages"
5041,3,PG,Children
5042,2,PG13,"Teens 13 or older"
5043,5,G,"All Ages"
5044,2,PG13,"Teens 13 or older"
5045,5,G,"All Ages"
5046,3,PG,Children
5047,5,G,"All Ages"
5048,5,G,"All Ages"
5049,3,PG,Children
5050,5,G,"All Ages"
5051,5,G,"All Ages"
5052,5,G,"All Ages"
5053,5,G,"All Ages"
5054,5,G,"All Ages"
5055,5,G,"All Ages"
5056,5,G,"All Ages"
5057,1,R17+,"violence & profanity"
5058,1,R17+,"violence & profanity"
5059,5,G,"All Ages"
5060,2,PG13,"Teens 13 or older"
5061,3,PG,Children
5062,2,PG13,"Teens 13 or older"
5063,2,PG13,"Teens 13 or older"
5064,3,PG,Children
5065,2,PG13,"Teens 13 or older"
5066,2,PG13,"Teens 13 or older"
5067,2,PG13,"Teens 13 or older"
5068,6,Rx,Hentai
5069,5,G,"All Ages"
5070,5,G,"All Ages"
5071,5,G,"All Ages"
5072,4,R+,"Mild Nudity"
5073,6,Rx,Hentai
5074,6,Rx,Hentai
5075,6,Rx,Hentai
5076,2,PG13,"Teens 13 or older"
5077,2,PG13,"Teens 13 or older"
5078,2,PG13,"Teens 13 or older"
5079,2,PG13,"Teens 13 or older"
5080,4,R+,"Mild Nudity"
5081,2,PG13,"Teens 13 or older"
5082,2,PG13,"Teens 13 or older"
5083,1,R17+,"violence & profanity"
5084,NULL,NULL,NULL
5085,3,PG,Children
5086,5,G,"All Ages"
5087,6,Rx,Hentai
5088,6,Rx,Hentai
5089,5,G,"All Ages"
5090,5,G,"All Ages"
5091,5,G,"All Ages"
5092,5,G,"All Ages"
5093,3,PG,Children
5094,5,G,"All Ages"
5095,2,PG13,"Teens 13 or older"
5096,3,PG,Children
5097,5,G,"All Ages"
5098,5,G,"All Ages"
5099,5,G,"All Ages"
5100,5,G,"All Ages"
5101,NULL,NULL,NULL
5102,2,PG13,"Teens 13 or older"
5103,1,R17+,"violence & profanity"
5104,2,PG13,"Teens 13 or older"
5105,2,PG13,"Teens 13 or older"
5106,5,G,"All Ages"
5107,2,PG13,"Teens 13 or older"
5108,2,PG13,"Teens 13 or older"
5109,5,G,"All Ages"
5110,2,PG13,"Teens 13 or older"
5111,2,PG13,"Teens 13 or older"
5112,2,PG13,"Teens 13 or older"
5113,2,PG13,"Teens 13 or older"
5114,2,PG13,"Teens 13 or older"
5115,3,PG,Children
5116,3,PG,Children
5117,2,PG13,"Teens 13 or older"
5118,3,PG,Children
5119,2,PG13,"Teens 13 or older"
5120,2,PG13,"Teens 13 or older"
5121,2,PG13,"Teens 13 or older"
5122,2,PG13,"Teens 13 or older"
