anime_id,score_10,score_9,score_8,score_7,score_6,score_5,score_4,score_3,score_2,score_1
12633,33,30,61,201,329,318,115,58,35,24
12634,153,198,478,756,467,219,120,43,17,20
12635,90,56,137,223,281,218,86,57,37,39
12636,29496,43579,49834,29204,10832,4590,1722,552,317,355
12637,513,287,589,1255,1965,2592,2212,1556,1525,1812
12638,2612,3966,10418,18240,10055,4621,1633,649,287,186
12639,5,0,2,7,14,6,3,1,2,3
12640,164,132,162,308,345,197,105,60,33,27
12641,4,1,1,7,2,5,1,3,0,4
12642,0,0,0,0,0,0,0,0,0,0
12643,432,491,1093,2072,1720,1019,405,189,126,71
12644,37,21,51,112,79,50,9,3,2,8
12645,59,82,113,260,257,160,61,24,30,32
12646,791,934,1875,3695,3247,2008,785,292,169,111
12647,9,3,27,63,69,22,18,6,3,13
12648,6,1,2,2,5,3,1,1,1,4
12649,5,0,0,2,5,14,4,0,3,6
12650,9,1,1,4,16,19,3,3,7,15
12651,5,0,0,2,3,13,1,2,2,10
12652,4,1,0,5,7,5,0,0,1,9
12653,6,6,25,33,33,42,10,9,6,7
12654,3,0,0,1,4,2,1,0,0,3
12655,6,0,4,14,31,24,5,5,5,5
12656,9,0,5,13,18,11,9,6,1,8
12657,2785,4299,9903,8925,3078,983,250,87,53,44
12658,6,1,8,7,30,35,18,10,4,13
12659,8,2,2,9,21,33,11,5,3,7
12660,6,0,4,10,19,24,12,5,1,4
12661,6,1,5,6,7,24,6,12,1,7
12662,8,0,3,18,15,20,15,5,6,3
12663,4,2,2,5,16,13,7,5,1,4
12664,17,3,5,31,40,41,10,2,4,8
12665,708,688,1287,1745,903,441,138,78,43,57
12666,13,3,8,14,43,67,27,13,7,7
12667,775,855,1812,3153,2375,1567,872,405,269,223
12668,6,0,2,7,7,5,0,3,0,2
12669,329,347,899,1489,809,347,105,39,19,22
12670,4,0,0,2,5,6,0,0,1,2
12671,5,1,0,4,4,16,17,6,4,13
12672,4,0,3,7,12,19,9,2,1,6
